stock,Quarter,Revenue,Gross Profit,Operating Income,Pre-Tax Income,Income After Taxes,Net Income,EBITDA,EBIT,Shares Outstanding,Earnings Per Share(EPS),Total Assets,Total Liabilities,Shareholder Equity,Net Cash Flow,Current Ratio,Gross Margin,Net Profit Margin,EBITA Margin,ROE - Return On Equity,ROA - Return On Assets,ROI - Return On Investment,Free Cash Flow Per Share
NVDA,9/30/2020,4726,2960,1398,1348,1336,1336,1697,1398,2520,0.53,26881,11547,15334,-1023,3.9229,62.6322,28.2692,29.581,8.7127,4.9701,6.2732,0.3145
NVDA,6/30/2020,3866,2275,651,609,622,622,1055,651,2504,0.25,25180,11266,13914,-12220,6.0917,58.8464,16.089,16.8391,4.4703,2.4702,2.9798,0.5372
NVDA,3/31/2020,3080,2004,976,981,917,917,1083,976,2488,0.37,23254,10155,13099,4598,10.2911,65.0649,29.7727,31.6883,7.0005,3.9434,4.5717,0.3031
NVDA,12/31/2019,3105,2015,990,1016,951,951,1096,990,2472,0.38,17315,5111,12204,1131,7.6738,64.8953,30.628,31.8841,7.7925,5.4923,6.6995,0.534
NVDA,9/30/2019,3014,1916,927,959,899,899,1019,927,2472,0.36,15810,4596,11214,2660,8.4203,63.57,29.8275,30.7565,8.0168,5.6863,6.8085,0.6199
NVDA,6/30/2019,2579,1541,571,606,552,552,663,571,2464,0.23,14775,4439,10336,4333,8.6492,59.7519,21.4036,22.1404,5.3406,3.736,4.4787,0.334
NVDA,3/31/2019,2220,1296,358,389,394,394,449,358,2464,0.16,14021,4317,9704,1990,8.9848,58.3784,17.7478,16.1261,4.0602,2.8101,3.3698,0.2403
TSLA,12/31/2023,25167,4438,2064,2191,7943,7925,3296,2064,3485,2.26,109226,44119,65107,599,1.7259,17.6342,31.4897,8.2012,12.5349,7.45,11.9941,0.5938
TSLA,9/30/2023,23350,4178,1764,2045,1878,1853,2999,1764,3493,0.53,106618,43251,63367,711,1.6902,17.8929,7.9358,7.5546,3.4638,1.9991,3.3154,0.2409
TSLA,6/30/2023,24927,4533,2399,2937,2614,2703,3553,2399,3478,0.78,93941,39723,54218,-891,1.5901,18.1851,10.8437,9.6241,5.0372,2.8855,4.9539,0.2886
TSLA,3/31/2023,23329,4511,2664,2800,2539,2518,3710,2664,3468,0.73,90591,38697,51894,-154,1.5672,19.3365,10.7934,11.4193,5.1999,2.924,5.0679,0.1272
TSLA,12/31/2022,24318,5777,3901,3983,3707,3719,4890,3901,3475,1.07,86833,38005,48828,-3225,1.532,23.7561,15.2932,16.0416,8.1492,4.5022,7.8728,0.4045
TSLA,9/30/2022,21454,5382,3688,3636,3331,3292,4644,3688,3468,0.95,82338,36849,45489,1262,1.4624,25.0862,15.3445,17.1903,8.1837,4.4756,7.7829,0.9494
TSLA,6/30/2022,16934,4234,2464,2474,2269,2259,3386,2464,3464,0.65,74426,33723,40703,847,1.4308,25.003,13.34,14.5506,6.0934,3.3118,5.6534,0.451
TSLA,3/31/2022,18756,5460,3603,3626,3280,3313,4483,3603,3472,0.95,68513,31276,37237,-104,1.354,29.1107,17.6637,19.2099,9.3856,4.9668,8.6089,0.6417
TSLA,12/31/2021,17719,4847,2613,2635,2343,2326,3461,2613,3386,0.68,66038,31091,34947,1450,1.3753,27.3548,13.1272,14.7469,7.5544,3.7711,6.4617,0.818
TSLA,9/30/2021,13757,3660,2004,1882,1659,1618,2765,2004,3369,0.48,62131,31116,31015,-131,1.3851,26.6046,11.7613,14.5671,5.9486,2.8686,4.8329,0.3945
TSLA,6/30/2021,11958,2884,1312,1293,1178,1142,1993,1312,3357,0.34,57834,29945,27889,-898,1.5083,24.1178,9.5501,10.9171,4.5935,2.1361,3.5147,0.181
TSLA,3/31/2021,10389,2215,594,533,464,438,1215,594,3399,0.13,55146,29501,25645,-2178,1.6606,21.3206,4.216,5.7176,1.9444,0.8759,1.4096,-0.2751
TSLA,12/31/2020,10744,2066,575,379,296,270,1193,575,3249,0.08,52972,29108,23864,4898,1.8751,19.2293,2.513,5.3518,1.2828,0.5676,0.9057,0.5806
TSLA,9/30/2020,8771,2063,809,555,369,300,1393,809,3315,0.09,52148,29073,23075,5897,1.6346,23.5207,3.4204,9.2236,2.1845,0.8076,1.3419,0.4304
TSLA,6/30/2020,6036,1267,327,150,129,104,894,327,3108,0.03,45691,28799,16892,559,1.2499,20.9907,1.723,5.4175,1.2029,0.3383,0.609,0.1466
TSLA,3/31/2020,5985,1234,283,70,68,16,836,283,2982,0.01,38135,27411,10724,1764,1.2425,20.6182,0.2673,4.7285,0.6773,0.1826,0.3275,-0.3001
TSLA,12/31/2019,7384,1391,359,174,132,113,798,359,2661,0.05,37250,27210,10040,957,1.1346,18.838,1.5303,4.8619,1.7678,0.3847,0.6911,0.3816
TSLA,9/30/2019,6303,1191,261,176,150,143,847,261,2766,0.05,34309,26842,7467,377,1.0783,18.8958,2.2688,4.1409,2.1796,0.4574,0.8244,0.1388
TSLA,6/30/2019,6350,921,-167,-370,-389,-408,454,-167,2655,-0.15,32795,25913,6882,2766,1.0619,14.5039,-6.4252,-2.6299,-5.9206,-1.2205,-2.1848,0.2392
TSLA,3/31/2019,4541,566,-522,-645,-668,-710,-14,-522,2595,-0.27,31872,25302,6570,-1594,0.8307,12.4642,-15.6353,-11.4953,-12.2174,-2.3104,-4.3787,-0.3545
AMZN,12/31/2023,169961,77408,13209,13686,10624,10624,27029,13209,10492,1,527854,325979,201875,23809,1.0451,45.5446,6.2508,7.7718,5.2627,2.0127,4.0832,2.7793
AMZN,9/30/2023,143083,68061,11188,12189,9883,9879,23319,11188,10558,0.94,486883,303910,182973,14,0.9847,47.5675,6.9044,7.8192,5.3992,2.029,4.0476,0.9417
AMZN,6/30/2023,134383,65010,7681,7563,6759,6750,19270,7681,10449,0.65,477607,309005,168602,333,0.9477,48.3767,5.023,5.7158,4.0035,1.4133,2.9133,0.5881
AMZN,3/31/2023,127358,59567,4774,4119,3171,3172,15897,4774,10347,0.31,464378,309852,154526,-4519,0.9231,46.7713,2.4906,3.7485,2.0527,0.6831,1.4313,-0.8004
AMZN,12/31/2022,149204,63564,2737,-962,265,278,15422,2737,10189,0.03,462675,316632,146043,19075,0.9446,42.6021,0.1863,1.8344,0.1904,0.0601,0.1304,1.3137
AMZN,9/30/2022,127101,56833,2525,2944,2875,2872,12852,2525,10331,0.28,428362,290873,137489,-2522,0.9366,44.7148,2.2596,1.9866,2.0889,0.6705,1.4623,-0.3199
AMZN,6/30/2022,121234,54810,3317,-2653,-2016,-2028,13033,3317,10175,-0.2,419728,288326,131402,1101,0.9528,42.8919,-1.6728,2.736,-1.5434,-0.4832,-1.0704,-0.5038
AMZN,3/31/2022,116444,49945,3669,-5265,-3843,-3844,12862,3669,10171,-0.38,410767,276766,134001,122,0.9596,39.7178,-3.3012,3.1509,-2.8686,-0.9358,-2.1172,-1.6254
AMZN,12/31/2021,137412,54577,3460,14934,14322,14323,13399,3460,10296,1.38,420549,282304,138245,6300,1.1358,43.2101,10.4234,2.518,10.3606,3.4058,7.6598,0.5437
AMZN,9/30/2021,110812,47882,4852,4315,3160,3156,13800,4852,10309,0.31,382406,261842,120564,-10490,1.1172,43.2473,2.8481,4.3786,2.6177,0.8253,1.8497,-0.72
AMZN,6/30/2021,113080,48904,7702,8634,7766,7778,15740,7702,10286,0.76,360319,245516,114803,6512,1.1957,42.4953,6.8783,6.8111,6.7751,2.1586,4.7116,-0.0248
AMZN,3/31/2021,108518,46115,8865,10268,8112,8107,16373,8865,10260,0.79,323077,219757,103320,8222,1.052,36.8532,7.4707,8.1692,7.8465,2.5093,5.9968,-0.6797
AMZN,12/31/2020,125555,46271,6873,7765,7199,7222,14420,6783,10198,0.71,321195,227791,93404,12175,1.0502,40.6043,5.7521,5.4741,7.732,2.2485,5.7674,1.6958
AMZN,9/30/2020,96145,39039,6194,6809,6240,6331,12717,6194,10240,0.62,282179,199404,82775,-7640,1.1085,40.7729,6.5848,6.4424,7.6484,2.2436,5.4717,0.2039
AMZN,6/30/2020,88912,36252,5843,6221,5237,5243,11591,5843,10180,0.52,258314,184586,73728,10337,1.1812,41.3442,5.8968,6.5717,7.1113,2.0297,4.9066,1.3757
AMZN,3/31/2020,75452,31195,3989,3383,2639,2535,9351,3989,10120,0.25,221238,155966,65272,-8905,1.0787,38.2676,3.3598,5.2868,3.8837,1.1458,2.8577,-0.2336
AMZN,12/31/2019,87437,33460,3880,4054,3267,3268,10050,3880,10080,0.32,225248,163188,62060,12856,1.097,40.9811,3.7375,4.4375,5.2659,1.4508,3.8234,1.5594
AMZN,9/30/2019,69981,28679,3157,2632,2138,2134,8720,3157,10080,0.21,199099,142591,56508,589,1.0959,42.6897,3.0494,4.5112,3.7765,1.0718,2.702,0.446
AMZN,6/30/2019,63404,27067,3084,2889,2632,2625,8286,3084,10060,0.26,191351,138290,53061,-542,1.1021,43.1826,4.1401,4.864,4.9471,1.3718,3.4363,0.6438
AMZN,3/31/2019,59700,25780,4420,4401,3565,3561,9274,4420,10040,0.35,178102,129692,48410,-8666,1.0901,38.1264,5.9648,7.4037,7.3559,1.9994,4.9643,-0.0872
META,12/31/2023,40112,32416,16384,16808,14018,14018,19556,16384,2629,5.3,229623,76455,153168,4927,2.671,80.8137,34.9472,40.8456,9.152,6.1048,8.1712,4.5487
META,9/30/2023,34146,27936,13748,14020,11583,11583,16607,13748,2641,4.39,216274,73401,142873,8096,2.5672,81.8134,33.922,40.2624,8.1072,5.3557,7.183,5.1883
META,6/30/2023,31999,26054,9392,9293,7788,7788,12015,9392,2612,2.98,206688,72655,134033,17384,2.3248,81.4213,24.3383,29.3509,5.8105,3.768,5.1097,4.2614
META,3/31/2023,28645,22537,7227,7307,5709,5709,9751,7227,2596,2.2,184491,59696,124795,-3176,2.0678,78.6769,19.9302,25.2295,4.5747,3.0945,4.2377,2.7639
META,12/31/2022,32165,23829,6398,6149,4653,4653,8774,6398,2702,1.77,185727,60014,125713,345,2.2034,74.0836,14.466,19.8912,3.7013,2.5053,3.4305,2.0156
META,9/30/2022,27714,21998,5664,5576,4395,4395,7839,5664,2687,1.64,178894,54800,124094,1773,2.5704,79.3751,15.8584,20.4373,3.5417,2.4568,3.2795,0.1733
META,6/30/2022,28822,23630,8358,8186,6687,6687,10337,8358,2713,2.46,169779,44012,125767,-1875,2.52,81.986,23.201,28.9987,5.317,3.9387,5.317,1.7548
META,3/31/2022,27908,21903,8524,8908,7465,7465,10680,8524,2742,2.72,164218,40990,123228,-1512,2.8106,78.4829,26.7486,30.5432,6.0579,4.5458,6.0579,3.1951
META,12/31/2021,33671,27323,12585,12703,10285,10285,14599,12585,2859,3.64,165987,41108,124879,2061,3.1543,81.147,30.5456,37.3764,8.236,6.1963,8.236,4.4543
META,9/30/2021,29010,23239,10423,10565,9194,9194,12418,10423,2859,3.22,169585,36225,133360,-1707,4.2343,80.1069,31.6925,35.929,6.8941,5.4215,6.8941,3.4558
META,6/30/2021,29077,23678,12367,12513,10394,10394,14353,12367,2877,3.61,170609,32382,138277,-3380,5.4254,81.4321,35.7465,42.5319,7.5195,6.0923,7.5195,3.0062
META,3/31/2021,26171,21040,11378,11503,9497,9497,13350,11378,2882,3.3,163523,29866,133657,1937,6.0802,80.3943,36.2883,43.4756,7.1055,5.8077,7.1055,2.7654
META,12/31/2020,28071,22861,12775,13055,11220,11220,14638,12775,2888,3.87,159316,31026,128290,5975,5.0511,81.4399,39.9701,45.5096,8.7458,7.0426,8.7458,3.2693
META,9/30/2020,21470,17276,8040,8133,7846,7846,9738,8040,2891,2.71,146437,28706,117731,-9590,5.509,80.4658,36.544,37.4476,6.6643,5.3579,6.6643,2.1122
META,6/30/2020,18687,14858,5963,6131,5178,5178,7667,5963,2879,1.8,139691,29244,110447,-2358,6.0249,79.5098,27.7091,31.9099,4.6882,3.7068,4.6882,0.2061
META,3/31/2020,17737,14278,5893,5861,4902,4902,7490,5893,2868,1.71,138371,33067,105304,4648,4.6021,80.4984,27.6371,33.2243,4.6551,3.5427,4.6551,2.5952
META,12/31/2019,21082,17590,8858,9169,7349,7349,10326,8858,2876,2.55,133376,32322,101054,3199,4.3995,83.4361,34.8591,42.0169,7.2723,5.51,7.2723,1.7287
META,9/30/2019,17652,14497,7185,7329,6091,6091,8601,7285,2874,2.12,124418,30419,93999,2082,4.6578,82.1267,34.506,40.7036,6.4799,4.8956,6.4799,2.0106
META,6/30/2019,16886,13579,4626,4832,2616,2616,6128,4626,2875,0.91,117006,28244,88762,2801,4.4658,80.4157,15.4921,27.3955,2.9472,2.2358,2.9472,1.7293
META,3/31/2019,15077,12261,3317,3482,2429,2429,4672,3317,2869,0.85,109477,22961,86516,1073,5.3795,81.3226,16.1106,22.0004,2.8076,2.2187,2.6096,1.9069
